Signs_id,Signs_description
33,"apnea
sudden infant death syndrome
adult sleep apnea
temporary absence of spontaneous breathing
neurological impairment of the respiratory rhythm
obstruction of air flow
stoppage of breathing during sleep
cyanosis
bradycardia
"
34,"neurological disorder
dementia
stroke
inability to perform learned (familiar) movements
"
35,"cerebral palsy
autism
global developmental delays
intellectual disabilities
delayed speech
seizure
failure to thrive
delayed development of motor skills
"
36,"stroke
vascular lesion
lesion
lack of capillaries
blood traveling through the abnormal fistulous connections to flow rapidly
low resistance of the direct a-v connections
fistulas
high flow rates in the vessels
high flow rates
lower the pressure in the arteries
direct a-v connections
"
37,"polyarteritis
aortic regurgitation
progressive inflammation of one or more of the larger arteries leading from the heart
progressive inflammation of many arteries
polyarteritis of blood flow
segmental stenosis
aneurysm
"
38,"rubella
mumps
hepatitis b
inflammation of one or more joints
fever
chills
inflammation and painful swelling of one or more joints of the body
general weakness
headaches"
39,"rheumatoid-like arthritic condition
psoriasis
arthritis
abnormalities of the nails
"
40,"acquired, gynecological disorder
amenorrhea
endometriosis
synechiae
endometrial scarring
changes in the menstrual cycle
reduced menstrual flow
increased cramping
infertility
abdominal pain"
41,"autoimmune disorder
infections
immunizations
physical trauma

"
42,"genetic disorder
lysosomal storage diseases
mental retardation
lysosomal storage disease
diarrhea
infections
scoliosis
inborn error of metabolism
coarse facial features
spine deformities
behavior problems
deficient activity of a particular enzyme
accumulation of metabolic products
abnormal development
facial features coarse
skeleton deformed
ocular lens may develop crystalline deposits
mental deterioration
uneven development of the head and face
sagging cheeks
wide nose
broad face
neck short
"
43,"fungal infection

"
44,"tumor
tumors
brain tumors
primary brain tumors

"
45,"genetic neurodegenerative disorder
sinopulmonary infections
malignancies of the the the brain
ataxia
telangiectasia
cellular and humoral immunodeficiency
"
46,"
improperly developed atrial and ventricular septa and adjoining valves
abnormal ekg reading
"
47,"recessively inherited disorder
autoimmune disorders
autoimmune disease
immune-cell dysfunction
multiple autoimmunities
life-threatening endocrine gland and dysfunctions
"
48,"
ataxias
"
49,"chronic kidney disease
anemia
gout
elevated blood creatinine
elevated creatinine
creatinine rises
fluid retention
elevated uric acid concentrations in blood
fatigue
feel cold all the time
decreased appetite"
50,"intestinal infection
amoebic dysentery
infectious
mild diarrhea
acute inflammation of the intestines
intestinal inflammation
high temperatures
vomiting
bloody diarrhea
dehydration
ulceration
ulcers
peritonitis
ulcer
abdominal discomfort
asymptomatic
nausea
abdominal pain
prostration"
51,"genetic disorder
distinctive misshaped appearance of the skull facial (craniofacial) area and bones of the forearms and hands
"
52,"cirrhosis
obstruction of veins of splenic veins or hepatic or portal veins
congenital blood clots
vascular obstruction
increased arsenic levels
"
53,"kidney disease
proteinuria
nephrotic syndrome
progressive sensorineural deafness
renal disease
renal insufficiency
developmental delay
hypocalcemia
muscle weakness
tetany
convulsions
hematuria
deafness
congenital anomalies of the kidney and urinary tract
"
54,"aphthous stomatitis
eye lesions
skin lesions
recurrent genital ulcerations
"
55,"infectious disease
lesions of the skin bones
lesions
"
56,"non-progressive neurological disorder
herpes zoster
immune disorders
viral disorders
facial paralysis
slight fever
stiff neck
stiffness on one side of the face
paralysis
ischemia
compression of the 7th cranial nerve
deficiency of blood supply
pressure on the 7th cranial nerve
nerve swelling
difficulty the in moving the facial muscles
pain behind the ear
weakness"
57,"autosomal recessive disorders

"
58,"gastrointestinal disorder
end-stage liver disease
extrahepatic bile duct
absence of the bile ducts
accumulation of bile in the liver
jaundice
liver fibrosis
heart defects
intestinal malformations
elevated levels of liver enzymes gamma-glutamyl transpeptidase bilirubin
high blood levels of matrix metalloproteinase-7
absence of the gall bladder
"
59,"congenital condition

"
60,"arteriosclerosis
thromboembolism
hypertension
hypercholesterolemia
heart disease
diabetes mellitus
vascular dementia
obstruct blood vessels that supply the deep structures of the brain
reduced blood flow in brain tissue
inflammation
white matter degeneration
multiple small strokes in the deep structures of the brain
"
61,"
biotinidase deficiency
"
62,"inherited disorder
nerve deafness
sensorineural deafness
pili torti
sensorineural hearing loss
hearing loss bilateral
dry, fragile, lusterless, and/or coarse scalp hair
twisting of the hair shafts
"
63,"infectious multisystem disease
infectious disease
fever
cough
chills
dyspnea"
64,"genetic metabolic disorder
kidney disease
metabolic disorder
incomplete intestinal breakdown of tryptophan
digestive disturbances
fever
irritability
visual difficulties
indicanuria
"
65,"vascular disorder
mild or severe anemia
multiple distinctive skin lesions at birth or during early childhood
lesions in the gastrointestinal tract during childhood or early adulthood
lesions
multifocal venous malformations
abnormal embryonic blood vessel development
soft, elevated lesions on the skin or under the skin that are dark blue, red, purple-red or black
venous malformations
lesions more apparent over time
lesions in the gi
gi lesions
intussusception
skeletal abnormalities
venous malformations in muscle
"
66,"genetic disorder
cryptorchidism
intrauterine growth retardation
failure to thrive
malformations of the head and facial (craniofacial) area
distinctive appearance
physical abnormalities
restricted joint movements
clinodactyly
camptodactyly
foot deformities
renal malformations
"
67,"genetic disorder

"
68,"inflammatory lung disorder
bronchiolitis obliterans
organizing pneumonia
inflammatory lung disorders
pneumonia
connective-tissue diseases
immunological disorders
inflammatory bowel disease
lung abscess
lung cancer
lung disease
symptoms such as flu-like illness
cough
shortness of breath
wheezing
hemoptysis
inflammation of the bronchioles alveolar lung spherical units
"
69,"congenital heart defects
low levels of oxygen in the blood
distinctive changes in the lungs
abnormal development of the lungs
breathing difficulties in infants
"
70,"eye disorder
hypotropia
defects in eye movements
abnormalities of this tendon sheath shortening thickening inflammation
inability to move the affected eye upward
limited eye movement in the affected eye
ability to move the eyeball the or the restricted or absent
eye out of alignment with the unaffected eye
ptosis
palpebral fissure
strabismus
backward head tilt
"
71,"infectious disease
fevers
profuse sweating
muscle pain
headache
loss of appetite
physical weakness"
72,"portal hypertension
hepatomegaly
ascites
vomiting
splenomegaly
pain in the upper right part of the abdomen
nausea"
73,"peripheral vascular disease
thrombophlebitis
narrowing or blockage (occlusion) of the veins and arteries of the extremities
cramping in the legs when they walk
claudication
ulcers on the extremities
raynaud 's phenomenon
gangrene
extreme pain of the legs while at rest"
74,"
cells that differ from each other in genetic makeup
"
75,"kidney disease
abundance of a protein called c3 in the renal glomeruli
dense ‘ sausage-like ’ deposits in the glomerular basement membrane
abundance of c3 in the renal glomeruli
kidney deposits
"
76,"genetic disorder

"
77,"genetic neurological disorder
autosomal recessive condition
spongy degeneration of the white matter
macrocephaly
lack of head control
severely diminished muscle tone
floppiness
delays in reaching developmental milestones independent sitting walking
"
78,"harmless yeast infection
candidiasis
candida infection
yeast infection
diabetes mellitus
immune deficiencies
maternal infection
bacterial infections

"
79,"genetic disorder
pseudobulbar palsy
dementia
damage to the small blood vessels in the brain
strokes
damage to various small blood vessels
white matter involvement
leukoaraiosis
spasticity
difficult chewing swallowing speech
gait disturbance
stroke-like episodes
"
80,"inherited disorder
autosomal recessive genetic disorder
urea cycle disorders
complete or partial lack of the carbamoyl phosphate synthetase (cps) enzyme
lack of the cpsi enzyme
hyperammonemia
vomiting
coma
refusal to eat
progressive lethargy"
81,"intestinal obstruction
appendicitis
carcinoid tumors
tumors
bronchial (airway) tumors
flushing
wheezing
diarrhea
episodic facial flushing
chronic diarrhea
level of 5-hiaa will be clearly elevated
"
82,"hepatic encephalopathy
autosomal recessive genetic disorder
hypoglycemia
adult-onset myopathy
liver failure
production of an abnormally functioning carnitine palmitoyltransferase 1 enzyme
decreased metabolism of long-chain fatty acids
low level of ketones in the blood
enlarged liver
muscle weakness
elevated carnitine in the blood
sudden onset of muscle cramping associated with exercise
low levels of ketones
elevated liver transaminases
elevated ammonia
elevated total serum carnitine
cpt1a enzyme activity 1-5 % of normal
"
83,"inherited metabolic disorder
intellectual disability
developmental delays
seizures
drowsiness
myoclonic seizures
slow growth
low muscle tone
motor delays
delayed intellectual development
myoclonic seizures .
intellectual deficit
intellectual disabilities
developmental regression
abnormally high levels of carnosine and anserine in the serum and urine
very low activity of the enzyme carnosinase in the blood
"
84,"pneumothorax
endometriosis
thoracic or pelvic endometriosis
damage to the diaphragm
collapsed lung
"
85,"diabetes

"
86,"stroke
multiple sclerosis

"
87,"
destruction of the cerebellum during later stages of pregnancy
"
88,"cancer
cerebellar degeneration
thiamine deficiency

"
89,"cerebral palsy
autism
global developmental delays
inborn errors of creatine metabolism
interrupt the formation or transportation of creatine
"
90,"neurological disorder
muscle contractions in the neck
abnormal and postures of the neck and head
contractions sustained
spasms
tremor
abnormal postures
nerve irritation
pain
discomfort
difficulty"
91,"germ cell tumors
neoplasm
cervical tumors
"
92,"eye disorder
corneal edema
glaucoma
progressive iris atrophy
distortion of the iris
"
93,"endocrine disorder
galactorrhea
anovulation
amenorrhea
obesity
uterus atrophy
anovulatory
normal menstrual periods and ovulation do not resume
persistent discharge from the nipples
emotional distress
anxiety
impaired vision
loss of muscle tone in the uterus
uterine atrophy
headaches
backaches
abdominal pain"
94,"viral infection
infectious tropical disease
viral disease
viral diseases
rash
fever
arthralgias"
95,"
vomiting
small bowel obstruction
abdominal pain
nausea"
96,"cancer
liver cirrhosis
hepatitis b c
biliary tract stones
liver fluke infections
congenital anatomical abnormality
weight loss
jaundice
long standing gallstones
calcification of the gallbladder wall
porcelain gallbladder
gallbladder polyps
gallstones
abdominal pain
night sweats
fatigue"
97,"infectious disease
watery diarrhea
"
98,"chronic arthritis
osteoarthritis
swelling warmth and redness in one or more joints
swelling
stiffness
little or no inflammation
calcium pyrophosphate (cpp) crystal deposits around the the (vertebrae
loss of mobility
acute, recurring attacks of pain
pain
back pain"
99,"
degeneration of the retina
"
100,"white dot syndromes
recurrent eye disorder
inflammation of the retina choroid
white dots in the the fundus
serpiginous lesions involving two layers of the eye surface
macula damaged
painless decrease in vision
scotomata
eye lesions
lesions macular region
vision loss
localized vasculitis of the eye
photopsia"
101,"chromosomal disorder

"
102,"chromosomal disorder
intellectual disability
congenital heart defects
congenital disorder
hypoparathyroidism
heart defect
postnatal growth retardation
malformations of the skull and facial (craniofacial) region
short neck
underdevelopment or absence of the thymus and parathyroid glands
abnormalities of the immune system
"
103,"chromosomal disorder
mental retardation
prenatal growth retardation
abnormalities of the skull and facial (craniofacial) region
"
104,"chromosomal disorder
intellectual disability
low birth weight
malformations of the head and facial (craniofacial) area
abnormalities of the eyes
defects of the hands feet malformations in affected males
physical abnormalities
psychomotor retardation
"
105,"chromosomal disorder
chromosomal syndrome
chromosomal disorders

"
106,"chromosomal disorder
mental retardation
scoliosis
chromosomal
congenital heart defects
prenatal growth retardation
malformations of the head and facial (craniofacial) area
short neck
malformations of the fingers toes
skeletal malformations
genital abnormalities
heart defects
prenatal and postnatal growth retardation
distinctive craniofacial abnormalities
genital malformations
"
107,"mental retardation
microcephaly
hypotonia
growth retardation infections during the first years of life
malformations of the skull and facial (craniofacial) region
ocular hypertelorism
epicanthal folds
"
108,"chromosomal disorder

"
109,"chromosomal disorder
short stature
mental retardation
hypotonia
malformations of the hands feet
abnormalities of the skull and facial (craniofacial) region
microcephaly
"""" """" carp-shaped """" """" mouth
deeply set eyes
prominent ears
midfacial hypoplasia
visual abnormalities
hearing impairment
genital malformations
structural heart defects
physical abnormalities
"
110,"chromosomal disorder
mental retardation
abnormalities of the face eyes skeleton internal organs
"
111,"chromosomal disorder
hypertrichosis
chromosomal disorders
prenatal growth deficiency
severe to profound mental retardation
distinctive malformations of the skull and facial (craniofacial) region
synophrys
physical abnormalities
"
112,"chromosomal disorder
mental retardation
congenital heart defects
developmental delays
characteristic abnormalities of the head and facial (craniofacial) area
distinctive facial appearance
craniofacial abnormalities
brachycephaly
ocular hypertelorism
palpebral fissures
anteverted nares
long eyelashes
arched, bushy, well-defined eyebrows that grow together
synophrys
low hairline on the forehead and the back of the neck
hirsutism
eye abnormalities
limb defects
physical features
"
113,"chromosomal disorder
mental retardation
microcephaly
congenital heart defects
growth deficiency
malformations of the skull and facial (craniofacial) region
malformed ears
prominent nasal bridge
defects of the hands feet
physical abnormalities
genital abnormalities in affected males
urinary tract defects
"
114,"chromosomal disorder
mental retardation
chromosomal disorders
growth retardation
malformations of the skull and facial (craniofacial) region
short, webbed neck
joint contractures
physical abnormalities
"
115,"mental retardation
microcephaly
microphthalmia
strabismus
growth retardation
psychomotor retardation
abnormalities of the skull and facial (craniofacial) region
malformed or low-set ears
micrognathia
eye defects
ptosis
"
116,"chromosomal disorder
mental retardation
congenital heart defects
malformations of the skull and facial (craniofacial) region
abnormally shaped forehead
trigonocephaly
upwardly slanting eyelid folds
midfacial hypoplasia
genital defects
physical abnormalities
"
117,"chromosomal abnormality
malformations of the skull and facial (craniofacial) region
growth retardation
heart defects
genital abnormalities
moderate to severe intellectual disability
"
118,"chromosomal disorder

"
119,"
chemical oxidant that destroys bacteria a or reduced or absent
"
120,"allergy
asthma
chronic respiratory disorder
hypereosinophilia
granulomatosis
inflammation of the lungs ' airways
dyspnea
wheezing
"
121,"
inflammation at the of the hair follicle
stem cells and sebaceous gland are destroyed
permanent hair loss
"
122,"skeletal dysplasia
short stature
distinctive facial features
narrow, sloping shoulders
defective or absent collarbones
premature closing of the on the coronal
delayed closure of the the of the fontanels
narrow and abnormally shaped pelvic and pubic bones
deformations in the chest
delayed eruption of teeth
high arched palate
wide pelvic joint
failure of the lower jaw joints to unite
fingers that are irregular in length
"
123,"inherited disorder
dwarfism
growth retardation
short stature
photosensitivity
progeria
"
124,"genetic disorder
mental retardation
abnormalities of the head and facial (craniofacial) area
large, soft hands with short, thin (tapered) fingers
short stature
skeletal abnormalities
characteristic facial features
maxillary hypoplasia
prominent brow, downslanting eyelid folds
hypertelorism
large ears
thick eyebrows
kyphoscoliosis
pectus carinatum
"
125,"eye disorder
peripheral anterior synechiae
glaucoma
secondary glaucoma
matted or smudged appearance to the surface of the iris
nodular iris nevi
vision loss
"
126,"viral disease
fever
headaches
muscle aches
myalgia"
127,"inherited autosomal recessive disorders
deficiency of one of the enzymes needed to make specific hormones
"
128,"autosomal recessive disorder,

"
129,"neurological disorder
epilepsy
atypical absence seizures
atonic-tonic seizures
tonic-clonic seizures
"
130,"genetic eye movement disorders
incomitant strabismus
tukel syndrome
opthalmoplegia
ptosis
eyes fixed in an abnormal position
limited ability to move their eyes vertically
limitations in moving their eyes horizontally
eyes that are fixed in an abnormal position
eyes fixed in a downward position
elevate the chin
missing and webbed fingers and toes
"
131,"ciliopathies
hepatorenal fibrocystic diseases
fcd
polycystic kidney disease
pkd
chronic tubulointerstitial disease
portal hypertension
hypersplenism
cystic disease of the kidneys
fcd syndrome
liver abnormalities
hepatomegaly
hepatic fibrosis
gastrointestinal bleeding
enlarged spleen
"
132,"hypoglycemia
severe, persistent hypoglycemia in newborn babies, infants, and children
brain damage
rapid heart rate
seizures
coma
blood sugar level
low blood sugar
shakiness
rapid pulse
irritability
sleepiness
lethargy
excessive hunger
weakness
tiredness
confusion"
133,"inherited metabolic disorder
metabolic disorder
deficiency or absence of the enzymes sucrase isomaltase
watery diarrhea
distension
discomfort"
134,"chickenpox
maternal varicella zoster
maternal varicella zoster infection
distinctive abnormalities at birth
low birth weight
abnormalities of the skin extremities the brain the eyes
"
135,"congenital heart defect
congestive heart failure
congenital heart condition
congenital heart disease
small extra chamber above the left atrium of the heart
extra """" """" third atrium
passage of blood from the lungs into the heart slowed
obstruction
abnormal ekg patterns
"
136,"genetic, often progressive, eye disorders
vision impairment
asymptomatic"
137,"x-linked intellectual disabilities
cerebral creatine deficiency syndromes
autism
global developmental delays

"
138,"degenerative brain disorder
dementia
infections of the respiratory
pneumonia
depression
behavioral changes
impaired vision
impaired coordination
impairment of memory control
personality disintegration
agitation
restlessness
neuromuscular abnormalities
muscle weakness
wasting
myoclonus
athetosis
loss of physical and intellectual functions
coma
rapidly progressive neuromuscular symptoms
confusion
disorientation"
139,"
intestinal polyps
hair loss
nail growth problems
malabsorption
polyps
loss of taste"
140,"hiv infection
cancer
hiv-aids
lowered immunity
immune deficiencies
"
141,"inflammatory vascular disorders
inflammation of the blood vessel walls
skin lesions
macules
nodules
purpura
darkened spots
scarring
wheel-like lesions
urticaria
ring-shaped lesions
ulcers
vesicles
bullae
fever
vasculitides
malaise
muscle pain"
142,"
changes in elastic fibers
"
143,"blood disorder
neutropenia
recurrent infections
fever
ulcers of the mucous membranes of the mouth
malaise"
144,"pulmonary disease
pancreatic insufficiency
"
145,"infectious disease
central nervous system abnormalities
seizures
headaches"
146,"fanconi syndrome
kidney failure

"
147,"inherited metabolic disorder
elevated cystine
"
148,"inherited metabolic disorder
deficiency of the enzyme cytochrome c oxidase
deficiency of cox
cox deficiency
"
149,"viral infection
herpes virus
herpes viruses
herpes

"
150,"mental retardation
hypogonadism
inherited skin disorders
eye disorders
skin cancers
microcephaly
skin and eye symptoms of xeroderma pigmentosum
neurological abnormalities
dwarfism
photosensitivity
skin discolorations
low intelligence
ataxia
areflexia
hyporeflexia
neurological symptoms"
151,"scoliosis
muscle weakness
delayed motor
hand and forearm muscles may become weak
respiratory insufficiency
mild vision difficulties
loss of heat sensitivity
absence of reflexes
atrophy of leg muscles
ataxia
pain"
152,"acute viral infection
fever
skin rash
high fever
diarrhea
vomiting
severe pain in the head muscles
shaking chills
extreme exhaustion"
153,"inherited disorder
atypical development of the """" """" dentin """" """"
abnormal pulp tissue is in the roots of the teeth
teeth lack pulp chambers
half-moon shaped pulp chambers in short or abnormally shaped roots
"
154,"hereditary disorders
heritable dentin disorders
rapid erosion of the crowns in baby and permanent teeth
dental pulp exposed
pulp may be opalescent, smooth, and amber colored
permanent teeth a reduction or even complete loss of the pulp chambers and root canals
shell teeth
pitting of the tooth enamel in the permanent teeth
"
155,"scoliosis
kyphosis
short stature
short-limbed dwarfism
skeletal dysplasia
joint dysplasia
abnormal tissue changes of the of the pinnae
malformations of the head and facial (craniofacial) area
"
156,"
tumor diencephalon
failure to gain weight and grow
failure to thrive
abnormal progressive thinness
vomiting
vision abnormalities
pallor
emaciation
headaches"
157,"pulmonary valve disease
bacterial endocarditis
connective tissue disease
marfan ’s syndrome
wider than normal main pulmonary artery
palpable pulmonary ejection sound that disappears when the patient inhales
soft pulmonary ejection systolic
splitting of the second sound on breathing in
"
158,"progressive genetic disorders
muscular dystrophies
atrophy
weakness of the voluntary distal muscles
"
159,"infection
chronic skin ulcers
tissue under the skin is infiltrated by developing larvae
papules
redness
itching of the skin
painful ulcers
ulcers
characteristic ulcers
infections
fever
blistering
ulceration
pain"
160,"eye movement disorders
strabismus

"
161,"congenital digestive disorder

"
162,"developmental delay
intellectual disability
multiple congenital anomalies

"
163,"connective tissue disorder
alcoholic liver disease
cirrhosis
diabetes
thyroid problems
epilepsy
liver disease
alcoholism
pulmonary tuberculosis
diabetes mellitus
joint contractures
palmar fascia
hardened nodule
abnormal band of hardened (fibrotic) tissue
fingers in contracture
skin pucker
drawing up of the fingers toward the palms of the hand
loss of function of the fingers deformities
nodular growths on the fingers
nodule
plaque
"
164,"genetic disorders
barrel chest
disproportionate short stature
skeletal abnormalities
notching of the vertebral bodies
lacy appearance of the iliac crest
small and malformed carpal bones
"
165,"genetic disorder

"
166,"bone disease
abnormal growth of cartilage arising from the cartilage of the terminal ends (epiphysis) of the long bones of the lower limbs
abnormal cartilage
irregular nodular mass located either in the medial or lateral part of the bone
"
167,"
white haze around the outercoat of the veins in the retina
vitreous hemorrhaging
"
168,"
mild joint manifestations
"
169,"heart defect
raising the high pressures in the lungs
"
170,"hypertension
sella turcica is either partially filled with cerebrospinal fluid
very small associated pituitary gland lying in the floor of the sella
completely filled with cerebrospinal fluid with no visualized pituitary gland
hormone deficiencies
elevated intracranial
"
171,"neurological disorder
herpes simplex
fevers
hyperactivity
similar to meningitis
stiff neck
altered reflexes
speech abnormalities
headaches
drowsiness
weakness
confusion"
172,"
severe inflammation of the brain
high fever
vomiting
paralysis
personality changes
coma
neurological damage
death
selective infection
destruction of nerve cells
weakening of the immune system
headaches
weakness
nausea"
173,"bacterial infection of of endocardium
heart failure
emboli
"
174,"hypersensitivity
mumps

"
175,"chronic disorder of the digestive system
allergic diseases
malnutrition
gastroesophageal reflux disease
gerd
esophageal eosinophilia
asthma
eczema
vomiting
failure to thrive
difficulty swallowing
food getting stuck in the throat
dysphagia
impaction
poor growth
weight loss
stomach pain
nausea
poor appetite"
176,"vitamin d-resistant rickets
skin lesions
epidermal nevi associated with additional extra-cutaneous abnormalities
epidermal nevi
neurological abnormalities
seizures
cognitive impairment
developmental delays
hemiparesis
skeletal abnormalities
abnormal curvature of the spine
malformation of the hip
abnormalities of the arms and legs
underdevelopment or absence or overgrowth of limbs
ocular abnormalities
cataracts
clouding (opacity) of the cornea
colobomas
endocrine abnormalities
epidermal
extra-cutaneous malformations
"
177,"blistering disorder
herpes simplex virus
bullous impetigo

"
178,"skin infections
red, blistering and denuded skin
skin thickening
blistering
scaling
scales
generalized erythroderma
palmoplantar keratoderma
limit ambulation and hand function
brown-grey hyperkeratotic spines
heat intolerance"
179,"eye disorder
influenza
visual disorder
impairment of central vision in one eye
"
180,"hereditary disorder of the skin and nervous system
neurocutaneous syndrome
ataxia
progressive neurologic syndrome
hard, red plaques during infancy and childhood
skin lesions
ichthyosis
plaques on the skin of the extremities
ataxia
dysarthria
nystagmus
decreased tendon reflexes .
soon after birth skin lesions
neurological abnormalities adulthood
"
181,"genetic disorder

"
182,"bone tumor
aggressive cancer

"
183,"pan-ethnic disorder

"
184,"bleeding disorder

"
185,"inherited cancer predisposition syndrome
cancer of the colon and/or rectum
polyposis conditions
colorectal cancer
hundreds to thousands of precancerous colorectal polyps
100 or more adenomatous colorectal polyps
fewer than 100 polyps and a relative with fap
polyps
"
186,"genetic degenerative
neurodegenerative disorder
dementia
alzheimer 's disease
poor attention concentration
declining work or academic performance
language difficulties
severe memory deficits
irregular muscle contractions
seizures
changes in mood
apathy
depression
anger
"
187,"inherited disorders
hypophosphatemia
chronic hypophosphatemia
rickets
bone disease
osteomalacia
impaired kidney conservation of phosphate
altered vitamin d metabolism
bow deformities of the legs
growth plate abnormalities
progressive softening of the bone
growth rates may be impaired
short stature
"
188,"genetic disorders
parathyroid hormone deficiency
parathyroid glands that do not produce or secrete enough parathyroid hormone
hypocalcemia
high levels of phosphorous
"
189,"infectious disorder
chronic liver disease
liver fluke disease
fever
tender liver
gastrointestinal disturbances
urticaria
bouts of bronchial asthma
fatty food intolerance
jaundice
itching
abdominal tenderness
lesions
abdominal pain
gastrointestinal pain
nausea"
190,"
underdeveloped femurs
unusual facial features
"
191,"hereditary iron overload
classic (type 1) hemochromatosis

"
192,"inherited connective tissue disorder
heterotopic ossification
ankylosis
skeletal muscles to a a transformation into bone
locking joints
movement difficult or impossible
malformed big toes congenital
skeletal malformations of the cervical spine ribs
development of bone at multiple soft tissue
stiffness in affected areas
limited movement of affected joints
"
193,"
stenosis
aneurysms
dissection
narrowing
tears of arteries
multiple aneurysms
dissections in arteries
"
194,"genetic disorder
microcephaly
unusual facial appearance
abnormalities of the fingers and toes
mild to severe mental retardation
growth delays
syndactyly
clinodactyly
"
195,"kidney failure
damage to the kidneys
glomeruli sclerosis
scarring or damage to the glomeruli
progressive kidney damage
"
196,"cancer
cancers

"
197,"
eye, nose, and throat irritation
skin rashes
eye irritation
breathing problems
skin irritations
burns to the esophagus stomach
acute hemolysis
hypotension
abnormalities of heart rhythm
irregular breathing
unconsciousness
coma
headaches
restlessness"
198,"genetic multisystem disorder
intellectual disability
inherited disorder
swelling of the cheeks lips
face edema
skeletal abnormalities
deafness
malformation of a cochlea
"
199,"skin disorder
intense itching
abnormalities affecting the apocrine sweat glands
inflammation and of the glands
skin darkened dry
papules
hair loss
papular eruptions on apocrine gland areas
"
